"['Stock: CCL', 'Net: -1.47', 'Percent Gain: -6.36%']"
"['Stock: SRCL', 'Net: 5.19', 'Percent Gain: 8.09%']"
"['Stock: UNP', 'Net: 31.97', 'Percent Gain: 18.14%']"
"['Stock: RCL', 'Net: -11.28', 'Percent Gain: -13.12%']"
"['Stock: CHK', 'Net: -28.33', 'Percent Gain: -100.0%']"
"['Stock: TXT', 'Net: -7.26', 'Percent Gain: -13.06%']"
"['Stock: VZ', 'Net: -2.24', 'Percent Gain: -3.67%']"
"['Stock: SNA', 'Net: 14.01', 'Percent Gain: 8.92%']"
"['Stock: WDC', 'Net: -1.6', 'Percent Gain: -2.81%']"
"['Stock: UDR', 'Net: -6.83', 'Percent Gain: -15.09%']"
"['Stock: CLX', 'Net: 42.51', 'Percent Gain: -100.0%']"
"['Stock: TROW', 'Net: 30.94', 'Percent Gain: 25.69%']"
"['Stock: ZBH', 'Net: -2.03', 'Percent Gain: -1.3%']"
"['Stock: TSCO', 'Net: 10.31', 'Percent Gain: 7.91%']"
"['Stock: STZ', 'Net: 0.33', 'Percent Gain: 0.15%']"
"['Stock: VLO', 'Net: -12.21', 'Percent Gain: -17.75%']"
"['Stock: UNH', 'Net: 38.89', 'Percent Gain: 12.47%']"
"['Stock: AAP', 'Net: 5.43', 'Percent Gain: 3.57%']"
"['Stock: DRI', 'Net: 5.31', 'Percent Gain: 4.67%']"
"['Stock: WM', 'Net: -7.75', 'Percent Gain: -6.17%']"
"['Stock: ALXN', 'Net: 14.18', 'Percent Gain: 9.98%']"
"['Stock: DLTR', 'Net: -18.17', 'Percent Gain: -14.4%']"
"['Stock: XRX', 'Net: 1.02', 'Percent Gain: 4.6%']"
"['Stock: AEE', 'Net: -11.32', 'Percent Gain: -100.0%']"
"['Stock: ECL', 'Net: -30.56', 'Percent Gain: -12.38%']"
"['Stock: ACN', 'Net: 65.82', 'Percent Gain: 33.69%']"
"['Stock: WRK', 'Net: 4.74', 'Percent Gain: 12.22%']"
"['Stock: APH', 'Net: 26.19', 'Percent Gain: 25.04%']"
"['Stock: EL', 'Net: 66.39', 'Percent Gain: 33.23%']"
"['Stock: ZTS', 'Net: 34.8', 'Percent Gain: 26.63%']"
"['Stock: APD', 'Net: 21.25', 'Percent Gain: -100.0%']"
"['Stock: APTV', 'Net: 49.89', 'Percent Gain: 62.05%']"
"['Stock: FDX', 'Net: 79.1', 'Percent Gain: 43.82%']"
"['Stock: KEY', 'Net: 0.98', 'Percent Gain: 6.35%']"
"['Stock: ALL', 'Net: 11.25', 'Percent Gain: 11.4%']"
"['Stock: BEN', 'Net: -2.14', 'Percent Gain: -7.89%']"
"['Stock: AWK', 'Net: 16.46', 'Percent Gain: 12.01%']"
"['Stock: GS', 'Net: 13.03', 'Percent Gain: 5.2%']"
"['Stock: MMC', 'Net: 0.79', 'Percent Gain: 0.68%']"
"['Stock: BA', 'Net: -57.49', 'Percent Gain: -21.17%']"
"['Stock: AOS', 'Net: 3.66', 'Percent Gain: 7.15%']"
"['Stock: HES', 'Net: -22.32', 'Percent Gain: -29.72%']"
"['Stock: MU', 'Net: 13.42', 'Percent Gain: 21.73%']"
"['Stock: ADSK', 'Net: 112.09', 'Percent Gain: 58.0%']"
"['Stock: CPB', 'Net: -7.42', 'Percent Gain: -100.0%']"
"['Stock: INFO', 'Net: 19.83', 'Percent Gain: 28.33%']"
"['Stock: PGR', 'Net: 12.15', 'Percent Gain: 14.01%']"
"['Stock: IVZ', 'Net: 2.83', 'Percent Gain: 19.38%']"
"['Stock: CTL', 'Net: -1.27', 'Percent Gain: -11.52%']"
"['Stock: O', 'Net: -14.35', 'Percent Gain: -18.75%']"
"['Stock: KIM', 'Net: 0.04', 'Percent Gain: 0.27%']"
"['Stock: CINF', 'Net: -27.7', 'Percent Gain: -24.07%']"
"['Stock: LNC', 'Net: -21.6', 'Percent Gain: -30.04%']"
"['Stock: SBAC', 'Net: 40.81', 'Percent Gain: -100.0%']"
"['Stock: CMG', 'Net: 369.49', 'Percent Gain: 36.32%']"
"['Stock: CMA', 'Net: 5.47', 'Percent Gain: 10.86%']"
"['Stock: MA', 'Net: 28.01', 'Percent Gain: 8.52%']"
"['Stock: LUV', 'Net: -3.28', 'Percent Gain: -6.57%']"
"['Stock: CMS', 'Net: 0.15', 'Percent Gain: -100.0%']"
"['Stock: ADBE', 'Net: 165.1', 'Percent Gain: 49.28%']"
"['Stock: CSX', 'Net: 9.37', 'Percent Gain: 11.51%']"
"['Stock: MAA', 'Net: 0.49', 'Percent Gain: 0.39%']"
"['Stock: GLW', 'Net: 0.47', 'Percent Gain: 1.32%']"
"['Stock: NAVI', 'Net: -1.23', 'Percent Gain: -11.13%']"
"['Stock: ALB', 'Net: 60.85', 'Percent Gain: 70.21%']"
"['Stock: DFS', 'Net: 27.72', 'Percent Gain: 44.13%']"
"['Stock: DE', 'Net: 72.59', 'Percent Gain: 36.95%']"
"['Stock: DUK', 'Net: -11.07', 'Percent Gain: -10.79%']"
"['Stock: MO', 'Net: -2.73', 'Percent Gain: -6.24%']"
"['Stock: JWN', 'Net: 7.82', 'Percent Gain: 33.43%']"
"['Stock: EOG', 'Net: -13.38', 'Percent Gain: -21.15%']"
"['Stock: DOV', 'Net: 19.42', 'Percent Gain: 18.18%']"
"['Stock: PCAR', 'Net: 11.45', 'Percent Gain: 15.3%']"
"['Stock: AME', 'Net: 30.12', 'Percent Gain: 33.16%']"
"['Stock: EXR', 'Net: 7.8', 'Percent Gain: 7.22%']"
"['Stock: EW', 'Net: 10.72', 'Percent Gain: 13.32%']"
"['Stock: AAPL', 'Net: 60.65', 'Percent Gain: 84.19%']"
"['Stock: PM', 'Net: -12.75', 'Percent Gain: -13.35%']"
"['Stock: RE', 'Net: -18.38', 'Percent Gain: -7.28%']"
"['Stock: FLR', 'Net: 1.33', 'Percent Gain: 9.08%']"
"['Stock: PRU', 'Net: -3.22', 'Percent Gain: -3.96%']"
"['Stock: AVB', 'Net: -45.74', 'Percent Gain: -22.19%']"
"['Stock: FITB', 'Net: 1.38', 'Percent Gain: 5.27%']"
"['Stock: REG', 'Net: -4.08', 'Percent Gain: -8.21%']"
"['Stock: BLK', 'Net: 208.34', 'Percent Gain: 40.6%']"
"['Stock: HIG', 'Net: -1.14', 'Percent Gain: -2.27%']"
"['Stock: COG', 'Net: -3.84', 'Percent Gain: -100.0%']"
"['Stock: GPS', 'Net: 5.6', 'Percent Gain: 38.38%']"
"['Stock: SLB', 'Net: -1.04', 'Percent Gain: -4.55%']"
"['Stock: HST', 'Net: 0.79', 'Percent Gain: 5.71%']"
"['Stock: CNC', 'Net: -12.95', 'Percent Gain: -100.0%']"
"['Stock: INCY', 'Net: -19.96', 'Percent Gain: -100.0%']"
"['Stock: GWW', 'Net: 113.37', 'Percent Gain: 38.43%']"
"['Stock: SWK', 'Net: 28.86', 'Percent Gain: 19.28%']"
"['Stock: CI', 'Net: -58.55', 'Percent Gain: -21.95%']"
"['Stock: HLT', 'Net: 22.65', 'Percent Gain: 25.56%']"
"['Stock: TEL', 'Net: 33.95', 'Percent Gain: 38.97%']"
"['Stock: JCI', 'Net: 10.18', 'Percent Gain: 27.96%']"
"['Stock: ILMN', 'Net: -10.75', 'Percent Gain: -2.82%']"
"['Stock: CL', 'Net: 8.71', 'Percent Gain: 11.34%']"
"['Stock: FOXA', 'Net: -6.52', 'Percent Gain: -18.29%']"
"['Stock: IRM', 'Net: -8.48', 'Percent Gain: -22.34%']"
"['Stock: CCI', 'Net: -30.39', 'Percent Gain: -100.0%']"
"['Stock: UHS', 'Net: 27.14', 'Percent Gain: 24.59%']"
"['Stock: KLAC', 'Net: 101.78', 'Percent Gain: 64.77%']"
"['Stock: DVN', 'Net: -0.88', 'Percent Gain: -5.27%']"
"['Stock: MAC', 'Net: 1.45', 'Percent Gain: 15.73%']"
"['Stock: WMT', 'Net: 1.6', 'Percent Gain: 1.12%']"
"['Stock: LMT', 'Net: -41.48', 'Percent Gain: -100.0%']"
"['Stock: DTE', 'Net: 1.43', 'Percent Gain: 1.19%']"
"['Stock: MET', 'Net: 1.8', 'Percent Gain: 3.99%']"
"['Stock: ABBV', 'Net: 15.21', 'Percent Gain: 16.54%']"
"['Stock: MS', 'Net: 14.84', 'Percent Gain: 27.64%']"
"['Stock: MKC', 'Net: 12.3', 'Percent Gain: -100.0%']"
"['Stock: ETR', 'Net: -14.26', 'Percent Gain: -100.0%']"
"['Stock: A', 'Net: 35.33', 'Percent Gain: 42.48%']"
"['Stock: LNT', 'Net: -0.87', 'Percent Gain: -100.0%']"
"['Stock: NWS', 'Net: 3.08', 'Percent Gain: 20.97%']"
"['Stock: TAP', 'Net: -6.57', 'Percent Gain: -12.69%']"
"['Stock: EXPD', 'Net: 11.61', 'Percent Gain: 13.9%']"
"['Stock: AMT', 'Net: -48.67', 'Percent Gain: -100.0%']"
"['Stock: NFLX', 'Net: 156.06', 'Percent Gain: 40.57%']"
